year,round,lap,driver,position,laptime
2023,6,1,max_verstappen,1,84.238
2023,6,1,alonso,2,85.527
2023,6,1,ocon,3,86.639
2023,6,1,sainz,4,87.39
2023,6,1,hamilton,5,88.58500000000001
2023,6,1,leclerc,6,89.108
2023,6,1,gasly,7,89.701
2023,6,1,russell,8,90.387
2023,6,1,tsunoda,9,91.31700000000001
2023,6,1,norris,10,92.03399999999999
2023,6,1,piastri,11,93.07
2023,6,1,de_vries,12,93.449
2023,6,1,albon,13,94.616
2023,6,1,bottas,14,96.914
2023,6,1,sargeant,15,97.689
2023,6,1,kevin_magnussen,16,98.425
2023,6,1,stroll,17,99.562
2023,6,1,perez,18,118.19
2023,6,1,zhou,19,118.785
2023,6,1,hulkenberg,20,120.092
2023,6,2,max_verstappen,1,79.367
2023,6,2,alonso,2,79.646
2023,6,2,ocon,3,80.301
2023,6,2,sainz,4,80.593
2023,6,2,hamilton,5,80.527
2023,6,2,leclerc,6,80.549
2023,6,2,gasly,7,80.636
2023,6,2,russell,8,81.155
2023,6,2,tsunoda,9,81.288
2023,6,2,norris,10,81.61
2023,6,2,piastri,11,81.804
2023,6,2,de_vries,12,81.764
2023,6,2,albon,13,80.977
2023,6,2,bottas,14,80.021
2023,6,2,sargeant,15,79.658
2023,6,2,kevin_magnussen,16,80.175
2023,6,2,stroll,17,79.989
2023,6,2,perez,18,79.70400000000001
2023,6,2,zhou,19,80.757
2023,6,2,hulkenberg,20,80.434
2023,6,3,max_verstappen,1,79.074
2023,6,3,alonso,2,79.113
2023,6,3,ocon,3,79.70400000000001
2023,6,3,sainz,4,79.958
2023,6,3,hamilton,5,80.105
2023,6,3,leclerc,6,80.021
2023,6,3,gasly,7,80.282
2023,6,3,russell,8,80.291
2023,6,3,tsunoda,9,80.281
2023,6,3,norris,10,80.396
2023,6,3,piastri,11,80.532
2023,6,3,de_vries,12,80.58
2023,6,3,albon,13,80.703
2023,6,3,bottas,14,80.142
2023,6,3,sargeant,15,80.219
2023,6,3,kevin_magnussen,16,79.929
2023,6,3,stroll,17,79.928
2023,6,3,perez,18,76.387
2023,6,3,zhou,19,77.003
2023,6,3,hulkenberg,20,77.221
2023,6,4,max_verstappen,1,78.129
2023,6,4,alonso,2,78.776
2023,6,4,ocon,3,79.314
2023,6,4,sainz,4,79.482
2023,6,4,hamilton,5,79.356
2023,6,4,leclerc,6,79.468
2023,6,4,gasly,7,79.577
2023,6,4,russell,8,80.03
2023,6,4,tsunoda,9,80.032
2023,6,4,norris,10,80.209
2023,6,4,piastri,11,80.408
2023,6,4,de_vries,12,80.376
2023,6,4,albon,13,80.276
2023,6,4,bottas,14,80.34100000000001
2023,6,4,sargeant,15,80.246
2023,6,4,kevin_magnussen,16,80.407
2023,6,4,stroll,17,79.998
2023,6,4,perez,18,76.535
2023,6,4,zhou,19,76.946
2023,6,4,hulkenberg,20,77.148
2023,6,5,max_verstappen,1,78.019
2023,6,5,alonso,2,77.939
2023,6,5,ocon,3,79.041
2023,6,5,sainz,4,78.723
2023,6,5,hamilton,5,78.736
2023,6,5,leclerc,6,78.837
2023,6,5,gasly,7,78.893
2023,6,5,russell,8,78.84
2023,6,5,tsunoda,9,79.29599999999999
2023,6,5,norris,10,79.502
2023,6,5,piastri,11,79.707
2023,6,5,de_vries,12,79.78999999999999
2023,6,5,albon,13,79.967
2023,6,5,bottas,14,80.02199999999999
2023,6,5,sargeant,15,80.214
2023,6,5,kevin_magnussen,16,80.224
2023,6,5,stroll,17,80.438
2023,6,5,perez,18,76.269
2023,6,5,zhou,19,76.926
2023,6,5,hulkenberg,20,77.045
2023,6,6,max_verstappen,1,77.64
2023,6,6,alonso,2,77.952
2023,6,6,ocon,3,78.731
2023,6,6,sainz,4,78.764
2023,6,6,hamilton,5,78.958
2023,6,6,leclerc,6,78.82900000000001
2023,6,6,gasly,7,78.842
2023,6,6,russell,8,78.945
2023,6,6,tsunoda,9,78.73
2023,6,6,norris,10,79.045
2023,6,6,piastri,11,79.247
2023,6,6,de_vries,12,79.224
2023,6,6,albon,13,79.16499999999999
2023,6,6,bottas,14,79.16499999999999
2023,6,6,sargeant,15,79.312
2023,6,6,kevin_magnussen,16,79.352
2023,6,6,stroll,17,79.785
2023,6,6,perez,18,76.458
2023,6,6,zhou,19,77.205
2023,6,6,hulkenberg,20,76.991
2023,6,7,max_verstappen,1,77.633
2023,6,7,alonso,2,77.505
2023,6,7,ocon,3,78.782
2023,6,7,sainz,4,78.697
2023,6,7,hamilton,5,78.651
2023,6,7,leclerc,6,78.645
2023,6,7,gasly,7,78.604
2023,6,7,russell,8,78.583
2023,6,7,tsunoda,9,78.712
2023,6,7,norris,10,78.652
2023,6,7,piastri,11,78.869
2023,6,7,de_vries,12,79.038
2023,6,7,albon,13,79.055
2023,6,7,bottas,14,79.167
2023,6,7,sargeant,15,79.239
2023,6,7,kevin_magnussen,16,79.512
2023,6,7,stroll,17,79.417
2023,6,7,perez,18,77.399
2023,6,7,zhou,19,77.408
2023,6,7,hulkenberg,20,77.333
2023,6,8,max_verstappen,1,77.39699999999999
2023,6,8,alonso,2,77.39099999999999
2023,6,8,ocon,3,78.533
2023,6,8,sainz,4,78.637
2023,6,8,hamilton,5,79.051
2023,6,8,leclerc,6,79.16499999999999
2023,6,8,gasly,7,79.31700000000001
2023,6,8,russell,8,78.99
2023,6,8,tsunoda,9,78.951
2023,6,8,norris,10,78.651
2023,6,8,piastri,11,78.828
2023,6,8,de_vries,12,78.743
2023,6,8,albon,13,78.79599999999999
2023,6,8,bottas,14,78.774
2023,6,8,sargeant,15,78.947
2023,6,8,kevin_magnussen,16,79.05199999999999
2023,6,8,stroll,17,78.733
2023,6,8,perez,18,77.937
2023,6,8,zhou,19,77.254
2023,6,8,hulkenberg,20,77.237
2023,6,9,max_verstappen,1,77.031
2023,6,9,alonso,2,77.783
2023,6,9,ocon,3,78.594
2023,6,9,sainz,4,78.306
2023,6,9,hamilton,5,78.82900000000001
2023,6,9,leclerc,6,78.809
2023,6,9,gasly,7,78.788
2023,6,9,russell,8,79.025
2023,6,9,tsunoda,9,78.85900000000001
2023,6,9,norris,10,79.065
2023,6,9,piastri,11,79.346
2023,6,9,de_vries,12,79.45400000000001
2023,6,9,albon,13,79.293
2023,6,9,bottas,14,79.007
2023,6,9,sargeant,15,79.529
2023,6,9,kevin_magnussen,16,78.914
2023,6,9,stroll,17,78.65899999999999
2023,6,9,perez,18,78.254
2023,6,9,zhou,19,77.523
2023,6,9,hulkenberg,20,77.43299999999999
2023,6,10,max_verstappen,1,77.084
2023,6,10,alonso,2,77.324
2023,6,10,ocon,3,78.46000000000001
2023,6,10,sainz,4,78.07
2023,6,10,hamilton,5,78.173
2023,6,10,leclerc,6,78.219
2023,6,10,gasly,7,78.31
2023,6,10,russell,8,78.566
2023,6,10,tsunoda,9,78.697
2023,6,10,norris,10,79.053
2023,6,10,piastri,11,79.015
2023,6,10,de_vries,12,78.957
2023,6,10,albon,13,79.338
2023,6,10,bottas,14,79.527
2023,6,10,sargeant,15,80.334
2023,6,10,kevin_magnussen,16,79.929
2023,6,10,stroll,17,79.893
2023,6,10,perez,18,79.787
2023,6,10,zhou,19,78.449
2023,6,10,hulkenberg,20,78.02799999999999
2023,6,11,max_verstappen,1,76.858
2023,6,11,alonso,2,77.249
2023,6,11,ocon,3,78.271
2023,6,11,sainz,4,78.265
2023,6,11,hamilton,5,77.926
2023,6,11,leclerc,6,78.162
2023,6,11,gasly,7,78.367
2023,6,11,russell,8,78.483
2023,6,11,tsunoda,9,79.297
2023,6,11,norris,10,79.148
2023,6,11,piastri,11,78.9
2023,6,11,de_vries,12,79.07
2023,6,11,albon,13,79.27799999999999
2023,6,11,bottas,14,79.38
2023,6,11,sargeant,15,80.089
2023,6,11,kevin_magnussen,16,79.824
2023,6,11,stroll,17,79.758
2023,6,11,perez,18,79.848
2023,6,11,zhou,19,79.602
2023,6,11,hulkenberg,20,79.596
2023,6,12,max_verstappen,1,76.993
2023,6,12,alonso,2,77.588
2023,6,12,ocon,3,78.515
2023,6,12,sainz,4,78.947
2023,6,12,hamilton,5,78.23
2023,6,12,leclerc,6,78.15
2023,6,12,gasly,7,78.582
2023,6,12,russell,8,78.459
2023,6,12,tsunoda,9,79.627
2023,6,12,norris,10,80.277
2023,6,12,piastri,11,80.30199999999999
2023,6,12,de_vries,12,80.182
2023,6,12,albon,13,80.31
2023,6,12,bottas,14,80.206
2023,6,12,sargeant,15,80.638
2023,6,12,kevin_magnussen,16,80.487
2023,6,12,stroll,17,80.639
2023,6,12,perez,18,80.43299999999999
2023,6,12,zhou,19,80.319
2023,6,12,hulkenberg,20,80.164
2023,6,13,max_verstappen,1,77.434
2023,6,13,alonso,2,78.443
2023,6,13,ocon,3,78.025
2023,6,13,sainz,4,78.286
2023,6,13,hamilton,5,78.084
2023,6,13,leclerc,6,78.018
2023,6,13,gasly,7,77.713
2023,6,13,russell,8,77.787
2023,6,13,tsunoda,9,78.8
2023,6,13,norris,10,78.97800000000001
2023,6,13,piastri,11,79.265
2023,6,13,de_vries,12,79.419
2023,6,13,albon,13,79.885
2023,6,13,bottas,14,79.511
2023,6,13,sargeant,15,80.702
2023,6,13,kevin_magnussen,16,80.886
2023,6,13,stroll,17,80.84700000000001
2023,6,13,perez,18,80.797
2023,6,13,zhou,19,80.561
2023,6,13,hulkenberg,20,80.824
2023,6,14,max_verstappen,1,77.065
2023,6,14,alonso,2,77.508
2023,6,14,ocon,3,78.055
2023,6,14,sainz,4,78.107
2023,6,14,hamilton,5,78.422
2023,6,14,leclerc,6,78.394
2023,6,14,gasly,7,78.564
2023,6,14,russell,8,78.286
2023,6,14,tsunoda,9,78.481
2023,6,14,norris,10,78.856
2023,6,14,piastri,11,79.285
2023,6,14,de_vries,12,79.479
2023,6,14,albon,13,80.259
2023,6,14,bottas,14,80.06700000000001
2023,6,14,sargeant,15,80.318
2023,6,14,kevin_magnussen,16,80.328
2023,6,14,stroll,17,80.295
2023,6,14,perez,18,80.283
2023,6,14,zhou,19,80.65299999999999
2023,6,14,hulkenberg,20,81.254
2023,6,15,max_verstappen,1,77.07900000000001
2023,6,15,alonso,2,77.444
2023,6,15,ocon,3,78.018
2023,6,15,sainz,4,77.883
2023,6,15,hamilton,5,78.189
2023,6,15,leclerc,6,78.312
2023,6,15,gasly,7,78.28399999999999
2023,6,15,russell,8,78.531
2023,6,15,tsunoda,9,78.439
2023,6,15,norris,10,78.855
2023,6,15,piastri,11,79.134
2023,6,15,de_vries,12,79.081
2023,6,15,albon,13,80.892
2023,6,15,bottas,14,80.912
2023,6,15,sargeant,15,80.28
2023,6,15,kevin_magnussen,16,80.287
2023,6,15,stroll,17,80.203
2023,6,15,perez,18,80.418
2023,6,15,zhou,19,80.398
2023,6,15,hulkenberg,20,80.97200000000001
