year,round,lap,driver,position,laptime
2023,5,1,perez,1,96.191
2023,5,1,alonso,2,97.24799999999999
2023,5,1,sainz,3,98.078
2023,5,1,gasly,4,98.76400000000001
2023,5,1,russell,5,99.467
2023,5,1,leclerc,6,100.402
2023,5,1,kevin_magnussen,7,100.86
2023,5,1,bottas,8,101.314
2023,5,1,max_verstappen,9,101.72399999999999
2023,5,1,ocon,10,102.184
2023,5,1,hulkenberg,11,102.723
2023,5,1,albon,12,103.346
2023,5,1,hamilton,13,104.363
2023,5,1,piastri,14,104.75800000000001
2023,5,1,tsunoda,15,105.73599999999999
2023,5,1,zhou,16,105.906
2023,5,1,stroll,17,106.289
2023,5,1,sargeant,18,106.84100000000001
2023,5,1,norris,19,107.753
2023,5,1,de_vries,20,108.179
2023,5,2,perez,1,93.963
2023,5,2,alonso,2,94.175
2023,5,2,sainz,3,94.215
2023,5,2,gasly,4,94.166
2023,5,2,russell,5,94.155
2023,5,2,leclerc,6,94.62
2023,5,2,kevin_magnussen,7,94.557
2023,5,2,max_verstappen,8,94.25999999999999
2023,5,2,bottas,9,95.62299999999999
2023,5,2,ocon,10,95.207
2023,5,2,hulkenberg,11,95.313
2023,5,2,albon,12,95.17699999999999
2023,5,2,hamilton,13,94.91499999999999
2023,5,2,piastri,14,95.574
2023,5,2,tsunoda,15,95.313
2023,5,2,zhou,16,95.59700000000001
2023,5,2,stroll,17,95.75
2023,5,2,norris,18,95.682
2023,5,2,de_vries,19,95.729
2023,5,2,sargeant,20,101.093
2023,5,3,perez,1,93.51599999999999
2023,5,3,alonso,2,93.25800000000001
2023,5,3,sainz,3,93.482
2023,5,3,gasly,4,93.53
2023,5,3,russell,5,93.695
2023,5,3,leclerc,6,94.906
2023,5,3,kevin_magnussen,7,94.58
2023,5,3,max_verstappen,8,94.12700000000001
2023,5,3,bottas,9,93.93299999999999
2023,5,3,ocon,10,93.94800000000001
2023,5,3,hulkenberg,11,93.858
2023,5,3,albon,12,94.158
2023,5,3,hamilton,13,94.057
2023,5,3,piastri,14,93.952
2023,5,3,tsunoda,15,94.27799999999999
2023,5,3,zhou,16,94.369
2023,5,3,stroll,17,94.327
2023,5,3,norris,18,93.869
2023,5,3,de_vries,19,94.67
2023,5,3,sargeant,20,135.625
2023,5,4,perez,1,93.07900000000001
2023,5,4,alonso,2,93.47200000000001
2023,5,4,sainz,3,93.56700000000001
2023,5,4,gasly,4,93.531
2023,5,4,russell,5,93.64
2023,5,4,max_verstappen,6,92.935
2023,5,4,kevin_magnussen,7,94.07900000000001
2023,5,4,leclerc,8,94.83
2023,5,4,bottas,9,94.493
2023,5,4,ocon,10,94.344
2023,5,4,hulkenberg,11,94.463
2023,5,4,albon,12,94.269
2023,5,4,hamilton,13,94.11500000000001
2023,5,4,piastri,14,93.959
2023,5,4,tsunoda,15,93.804
2023,5,4,zhou,16,93.834
2023,5,4,stroll,17,93.947
2023,5,4,de_vries,18,94.126
2023,5,4,norris,19,98.826
2023,5,4,sargeant,20,93.587
2023,5,5,perez,1,93.25800000000001
2023,5,5,alonso,2,93.756
2023,5,5,sainz,3,93.249
2023,5,5,gasly,4,93.372
2023,5,5,russell,5,93.74799999999999
2023,5,5,max_verstappen,6,92.875
2023,5,5,kevin_magnussen,7,93.281
2023,5,5,leclerc,8,93.426
2023,5,5,ocon,9,93.35499999999999
2023,5,5,bottas,10,94.17699999999999
2023,5,5,hulkenberg,11,93.708
2023,5,5,albon,12,93.842
2023,5,5,hamilton,13,93.803
2023,5,5,tsunoda,14,93.69800000000001
2023,5,5,zhou,15,93.613
2023,5,5,stroll,16,93.637
2023,5,5,de_vries,17,94.314
2023,5,5,piastri,18,98.967
2023,5,5,norris,19,110.47800000000001
2023,5,5,sargeant,20,93.93299999999999
