year,round,lap,driver,position,laptime
2022,15,1,max_verstappen,1,79.66
2022,15,1,leclerc,2,80.348
2022,15,1,sainz,3,81.468
2022,15,1,hamilton,4,82.718
2022,15,1,perez,5,83.729
2022,15,1,norris,6,84.47200000000001
2022,15,1,russell,7,84.94800000000001
2022,15,1,stroll,8,85.398
2022,15,1,ocon,9,85.889
2022,15,1,mick_schumacher,10,86.455
2022,15,1,tsunoda,11,87.229
2022,15,1,gasly,12,87.863
2022,15,1,alonso,13,87.995
2022,15,1,zhou,14,88.456
2022,15,1,kevin_magnussen,15,88.945
2022,15,1,albon,16,89.05799999999999
2022,15,1,ricciardo,17,89.735
2022,15,1,vettel,18,90.019
2022,15,1,bottas,19,90.385
2022,15,1,latifi,20,90.568
2022,15,2,max_verstappen,1,76.249
2022,15,2,leclerc,2,76.554
2022,15,2,sainz,3,76.622
2022,15,2,hamilton,4,76.814
2022,15,2,perez,5,77.045
2022,15,2,norris,6,77.924
2022,15,2,russell,7,77.931
2022,15,2,stroll,8,78.19
2022,15,2,ocon,9,78.241
2022,15,2,mick_schumacher,10,78.48400000000001
2022,15,2,tsunoda,11,78.905
2022,15,2,gasly,12,78.934
2022,15,2,alonso,13,79.093
2022,15,2,zhou,14,79.223
2022,15,2,albon,15,79.365
2022,15,2,ricciardo,16,79.254
2022,15,2,vettel,17,79.371
2022,15,2,bottas,18,79.532
2022,15,2,latifi,19,80.182
2022,15,2,kevin_magnussen,20,85.799
2022,15,3,max_verstappen,1,76.523
2022,15,3,leclerc,2,77.062
2022,15,3,sainz,3,76.919
2022,15,3,hamilton,4,76.804
2022,15,3,perez,5,77.127
2022,15,3,norris,6,77.469
2022,15,3,russell,7,77.207
2022,15,3,stroll,8,78.078
2022,15,3,ocon,9,77.949
2022,15,3,mick_schumacher,10,78.061
2022,15,3,tsunoda,11,78.167
2022,15,3,gasly,12,78.139
2022,15,3,alonso,13,78.214
2022,15,3,zhou,14,78.22800000000001
2022,15,3,albon,15,78.238
2022,15,3,ricciardo,16,78.43
2022,15,3,vettel,17,78.56700000000001
2022,15,3,bottas,18,78.938
2022,15,3,latifi,19,79.03
2022,15,3,kevin_magnussen,20,77.902
2022,15,4,max_verstappen,1,76.656
2022,15,4,leclerc,2,76.428
2022,15,4,sainz,3,77.102
2022,15,4,hamilton,4,76.578
2022,15,4,perez,5,76.901
2022,15,4,russell,6,76.776
2022,15,4,norris,7,78.553
2022,15,4,stroll,8,77.369
2022,15,4,ocon,9,77.69200000000001
2022,15,4,mick_schumacher,10,78.436
2022,15,4,tsunoda,11,78.088
2022,15,4,gasly,12,77.924
2022,15,4,alonso,13,78.132
2022,15,4,zhou,14,78.08
2022,15,4,albon,15,78.214
2022,15,4,ricciardo,16,78.286
2022,15,4,vettel,17,78.202
2022,15,4,bottas,18,78.298
2022,15,4,latifi,19,78.681
2022,15,4,kevin_magnussen,20,77.946
2022,15,5,max_verstappen,1,76.449
2022,15,5,leclerc,2,76.333
2022,15,5,sainz,3,76.874
2022,15,5,hamilton,4,76.607
2022,15,5,perez,5,76.873
2022,15,5,russell,6,76.65299999999999
2022,15,5,norris,7,77.289
2022,15,5,stroll,8,77.277
2022,15,5,ocon,9,77.709
2022,15,5,mick_schumacher,10,78.02
2022,15,5,tsunoda,11,77.687
2022,15,5,gasly,12,78.002
2022,15,5,alonso,13,78.008
2022,15,5,zhou,14,78.151
2022,15,5,albon,15,78.084
2022,15,5,ricciardo,16,78.074
2022,15,5,vettel,17,78.146
2022,15,5,bottas,18,78.651
2022,15,5,latifi,19,78.491
2022,15,5,kevin_magnussen,20,77.871
